"id","title","level","raw_community","relationship_ids","text_unit_ids"
"0","Community 0",0,"0","['b462b94ce47a4b8c8fffa33f7242acec' '17ed1d92075643579a712cc6c29e8ddb'
 '3ce7c210a21b4deebad7cc9308148d86' 'd64ed762ea924caa95c8d06f072a9a96'
 'adf4ee3fbe9b4d0381044838c4f889c8' '32ee140946e5461f9275db664dc541a5'
 'c160b9cb27d6408ba6ab20214a2f3f81' '23527cd679ff4d5a988d52e7cd056078'
 'f1c6eed066f24cbdb376b910fce29ed4' '83a6cb03df6b41d8ad6ee5f6fef5f024'
 '147c038aef3e4422acbbc5f7938c4ab8' 'b7702b90c7f24190b864e8c6e64612a5'
 'de6fa24480894518ab3cbcb66f739266' '6fae5ee1a831468aa585a1ea09095998'
 'ef32c4b208d041cc856f6837915dc1b0' '07b2425216bd4f0aa4e079827cb48ef5'
 '2670deebfa3f4d69bb82c28ab250a209' '404309e89a5241d6bff42c05a45df206'
 'b785a9025069417f94950ad231bb1441' '3b6cd96a27304614850709aba1c9598b'
 'd54956b79dd147f894b67a8b97dcbef0' '958beecdb5bb4060948415ffd75d2b03'
 'b999ed77e19e4f85b7f1ae79af5c002a' '48c0c4d72da74ff5bb926fa0c856d1a7'
 '4f3c97517f794ebfb49c4c6315f9cf23' '1745a2485a9443bab76587ad650e9be0'
 '32e6ccab20d94029811127dbbe424c64' '94a964c6992945ebb3833dfdfdc8d655'
 '1eb829d0ace042089f0746f78729696c' '015e7b58d1a14b44beab3bbc9f912c18'
 '26f88ab3e2e04c33a459ad6270ade565' 'babe97e1d9784cffa1c85abc1e588126']","['074d8bc13c7cff5ee897c3eca3e30693,09038f7353e18c002372101e4a4141be,0eb3593149c31596ddef2c535e782a58,39e32d155411e5a89ff5707ee1b03c9c,3c8b240edf207b97a5df6c92e4afd43a,4c9b33d2d1fe99bd63cd8f99c679281d,520f82c4733c1da4b602815fc08dc110,5535b05bf384b9ecfba910725e6518e4,6134ff8fdc6cf9ea36d456819fb81850,8b2c4dc1f5b8fa2f52a6b505f77bb4ff,a05f1c3b26d22d47e76e16edefe118fc,bfe652d20977453f943d863e7fac1edc,c642e51ecac0ee0338a50b22719b5345,c80544c339c19ece8e5afc2200e98300,ce810a02fd6124b31ca2183c6b7bd4b6,cecfda346bdac8e9232a912d20fd8b94,d3be9092a42bc9d927636522ec06973f,e7a17066064b2a2003f09ecc3c269f9e,e95a03d09a97893949ed1a0052424641,ec920851838d4a61251a9f4a23de71a6,f74af18f0023e1c5abc424734f082003'
 'cecfda346bdac8e9232a912d20fd8b94'
 'c642e51ecac0ee0338a50b22719b5345,e7a17066064b2a2003f09ecc3c269f9e'
 'e7a17066064b2a2003f09ecc3c269f9e' '074d8bc13c7cff5ee897c3eca3e30693'
 'f74af18f0023e1c5abc424734f082003'
 '5535b05bf384b9ecfba910725e6518e4,ce810a02fd6124b31ca2183c6b7bd4b6,d3be9092a42bc9d927636522ec06973f'
 'a05f1c3b26d22d47e76e16edefe118fc,ce810a02fd6124b31ca2183c6b7bd4b6'
 'a05f1c3b26d22d47e76e16edefe118fc'
 '0eb3593149c31596ddef2c535e782a58,8b2c4dc1f5b8fa2f52a6b505f77bb4ff'
 'c642e51ecac0ee0338a50b22719b5345' '3c8b240edf207b97a5df6c92e4afd43a'
 '6134ff8fdc6cf9ea36d456819fb81850,c80544c339c19ece8e5afc2200e98300'
 'ec920851838d4a61251a9f4a23de71a6' '09038f7353e18c002372101e4a4141be'
 '39e32d155411e5a89ff5707ee1b03c9c,bfe652d20977453f943d863e7fac1edc'
 '39e32d155411e5a89ff5707ee1b03c9c']"
"1","Community 1",0,"1","['1033a18c45aa4584b2aef6ab96890351' '17ed1d92075643579a712cc6c29e8ddb'
 '3b6cd96a27304614850709aba1c9598b' '6fae5ee1a831468aa585a1ea09095998'
 '32e6ccab20d94029811127dbbe424c64']","['4c9b33d2d1fe99bd63cd8f99c679281d,bfe652d20977453f943d863e7fac1edc,cecfda346bdac8e9232a912d20fd8b94,ec920851838d4a61251a9f4a23de71a6,f74af18f0023e1c5abc424734f082003'
 '3c8b240edf207b97a5df6c92e4afd43a,4c9b33d2d1fe99bd63cd8f99c679281d,bfe652d20977453f943d863e7fac1edc']"
"2","Community 2",0,"2",['c9b8ce91fc2945b4907fe35519339cac' 'ef32c4b208d041cc856f6837915dc1b0'],['3c8b240edf207b97a5df6c92e4afd43a']
